fps:,50
frame,x,y,area [px]
54,976,414,1018
54,398,506,999
54,867,563,476
54,532,207,817
54,829,357,1064
73,504,358,601
73,480,457,872
73,326,375,793
73,853,453,1147
150,809,336,2385
150,420,277,1195
150,857,544,803
150,706,299,1255
150,716,359,494
263,875,492,790
263,914,539,1070
263,764,426,1274
263,471,556,691
284,451,453,937
284,603,352,813
284,308,260,872
284,367,326,2250
485,775,340,1073
485,571,408,1366
485,539,394,955
619,752,382,1504
619,945,370,1094
619,335,391,638
619,545,428,1026
619,965,357,722
664,583,423,1143
664,468,453,549
726,994,273,818
726,623,593,2416
758,457,558,1269
758,626,569,1843
758,803,359,438
843,317,374,914
843,634,458,1711
843,867,264,1108
930,689,539,710
930,870,454,518
930,808,276,1449
982,530,495,1174
982,574,477,774
982,922,239,1540
982,431,338,861
