fps: 10

23, 572, 398, 287
23, 290, 312, 453
23, 582, 113, 249
23, 527, 163, 568
23, 442, 271, 571
37, 258, 399, 278
37, 482, 248, 424
37, 582, 334, 329
37, 611, 118, 340
37, 596, 378, 255
51, 597, 247, 451
51, 609, 174, 159
51, 689, 57, 313
62, 469, 320, 492
62, 421, 303, 542
74, 428, 266, 305
74, 396, 216, 437
74, 658, 368, 243
74, 680, 119, 348
74, 729, 350, 368
92, 402, 232, 225
92, 628, 249, 566
92, 345, 209, 365
92, 421, 175, 561
102, 521, 257, 291
102, 386, 218, 457
102, 304, 265, 243
127, 653, 255, 487
127, 306, 220, 557
127, 623, 358, 465
127, 435, 198, 198
