fps: 50

179, 910, 462, 841
226, 867, 423, 602
226, 795, 319, 661
226, 679, 460, 469
226, 869, 206, 1638
275, 992, 575, 2036
344, 955, 591, 1311
344, 335, 404, 1298
356, 373, 312, 1235
490, 841, 521, 698
490, 563, 468, 938
490, 891, 395, 2001
490, 796, 443, 530
505, 644, 342, 1656
545, 746, 326, 1240
545, 511, 437, 1765
545, 532, 426, 638
545, 915, 332, 878
545, 593, 438, 1544
595, 342, 513, 1971
613, 629, 441, 1362
613, 362, 400, 765
613, 473, 513, 1513
623, 880, 258, 1825
623, 590, 548, 753
723, 883, 246, 1441
723, 462, 558, 1666
723, 811, 522, 2087
723, 362, 430, 1746
723, 747, 377, 1244
758, 979, 454, 1032
758, 642, 228, 596
758, 347, 286, 887
758, 403, 383, 767
758, 704, 302, 921
801, 519, 323, 1729
801, 649, 430, 792
801, 463, 429, 2245
831, 545, 335, 663
876, 437, 442, 1617
876, 513, 422, 2212
876, 376, 307, 2191
876, 381, 247, 1389
946, 605, 219, 1329
