fps:,50
frame,x,y,area [px]
153,517,270,964
153,484,280,940
171,960,232,1314
171,515,548,1044
171,928,242,852
236,583,433,2103
236,429,540,1791
236,660,203,672
236,917,324,1904
236,367,215,1728
286,735,570,659
286,980,311,1674
453,474,218,1699
453,790,363,1805
453,709,376,1756
453,852,315,729
453,895,436,1537
476,756,309,2332
476,571,396,1065
546,469,312,1783
546,615,423,740
660,835,455,557
660,626,417,1404
684,854,568,910
709,551,591,616
709,867,528,2086
738,887,573,1604
738,819,310,556
757,545,430,1195
757,749,455,1113
757,876,483,769
757,317,552,1372
757,668,596,1183
777,395,468,1018
777,303,516,2184
777,370,444,824
777,568,491,1922
803,311,494,526
845,472,312,1847
845,602,518,2155
947,366,303,613
947,495,526,1017
947,825,541,569
947,634,236,1917
947,883,509,1254
