fps: 50

100, 681, 379, 1440
100, 742, 419, 2435
100, 825, 555, 2023
100, 855, 586, 2281
100, 708, 324, 1549
154, 310, 277, 2471
154, 457, 247, 2412
253, 703, 555, 891
253, 811, 511, 928
253, 809, 553, 866
289, 725, 591, 1072
289, 697, 380, 934
289, 372, 579, 2201
289, 959, 329, 1196
289, 636, 402, 892
317, 465, 280, 823
317, 763, 442, 663
317, 723, 571, 1725
362, 990, 373, 949
362, 951, 270, 1294
362, 768, 532, 1540
362, 311, 281, 853
362, 426, 348, 666
457, 942, 585, 2213
457, 832, 450, 871
457, 607, 294, 779
457, 494, 324, 990
526, 484, 398, 2111
526, 571, 228, 635
526, 906, 251, 1285
526, 733, 398, 797
526, 933, 484, 965
669, 388, 509, 2277
787, 390, 452, 2288
844, 763, 421, 1935
844, 983, 233, 1944
844, 690, 221, 1205
858, 562, 266, 1879
858, 352, 582, 727
858, 579, 201, 777
904, 761, 492, 780
904, 959, 232, 1472
965, 856, 439, 1331
965, 514, 487, 1043
965, 673, 292, 1860
965, 316, 314, 2197
965, 975, 522, 670
